EAST,NORTH,Cu
56.12242424,105.8418182,0.75
74.1769697,81.48393939,0.664
140.0324242,191.4915152,0.202
158.9121212,133.599697,0.408
50.45545455,211.9421212,0.602
123.1906061,233.2478788,0.466
93.29515152,77.34818182,0.46
60.86454545,153.2748485,1.166
161.2087879,205.8875758,0.514
105.6530303,21.84242424,0.854
85.86848485,163.3260606,0.704
126.6506061,175.9921212,0.31
90.13363636,66.67060606,0.64
21.05727273,194.9912121,0.4
83.69121212,209.8045455,0.796
65.70636364,69.6730303,0.374
70.7269697,74.64393939,0.704
139.7836364,17.83575758,0.206
80.32090909,149.3178788,0.456
49.60030303,178.5572727,0.534
187.1869697,182.1860606,0.356
464.9845455,162.9481818,0.298
123.7375758,228.4457576,0.29
445.25,200.1412121,0.272
85.16272727,71.63151515,0.812
134.5939394,56.91757576,0.222
71.62181818,64.85121212,0.322
33.33545455,155.9690909,0.788
53.67666667,119.5915152,0.632
148.5624242,125.6460606,0.436
143.810303,44.80818182,0.31
46.08090909,204.7939394,0.924
87.38969697,184.0948485,0.828
78.73030303,50.01787879,0.284
77.71636364,45.10666667,0.56
61.30212121,206.5239394,0.406
436.1033333,212.260303,0.24
11.57242424,131.6112121,0.158
444.5242424,233.6454545,0.428
68.07242424,154.3087879,1.056
118.0109091,35.50272727,0.654
470.0251515,243.4581818,0.35
119.0648485,208.1542424,0.368
80.36090909,215.8990909,0.826
97.6,105.1954545,0.488
47.98,218.5536364,1.098
461.2563636,222.4906061,0.53
118.5975758,26.50515152,0.764
33.60393939,110.1266667,0.372
136.0257576,163.7536364,0.666
149.2781818,1.968484848,0.178
111.6778788,173.8148485,0.48
13.51121212,196.2836364,0.412
102.1536364,185.9739394,0.522
175.0278788,188.33,0.274
112.8012121,107.5418182,0.49
44.90787879,101.01,0.494
135.8866667,77.11969697,0.486
119.3430303,88.43363636,0.644
82.29939394,228.0978788,0.664
65.34848485,214.089697,1.04
128.6387879,232.4127273,0.282
99.90666667,145.579697,0.788
101.3084848,165.6824242,0.914
70.38909091,194.5836364,0.522
117.0166667,46.97545455,0.844
419.0727273,250.1987879,0.218
342.8081818,208.0251515,0.27
